filters T local cloud overall local_exit comm device_size
1 0.1 0.92 0.94 0.94 0.00 32 859
3 0.1 0.92 0.95 0.95 0.00 96 2449
1 0.3 0.92 0.94 0.94 1.17 32 859
2 0.3 0.92 0.95 0.95 0.00 64 1654
3 0.3 0.92 0.95 0.95 4.68 92 2449
1 0.5 0.92 0.94 0.94 7.60 30 859
2 0.5 0.92 0.95 0.95 3.51 62 1654
3 0.5 0.92 0.95 0.95 9.36 88 2449
1 0.6 0.92 0.94 0.95 16.37 29 859
2 0.6 0.92 0.95 0.96 8.77 59 1654
3 0.6 0.92 0.95 0.96 21.05 78 2449
1 0.7 0.92 0.94 0.96 45.03 23 859
2 0.7 0.92 0.95 0.96 20.47 53 1654
3 0.7 0.92 0.95 0.96 45.61 58 2449
1 0.8 0.92 0.94 0.96 63.16 19 859
2 0.8 0.92 0.95 0.97 56.73 35 1654
3 0.8 0.92 0.95 0.98 60.82 45 2449
1 0.9 0.92 0.94 0.95 86.55 15 859
3 0.9 0.92 0.95 0.97 87.72 22 2449
